RIGHT; 6; 0 32 2 0 16 8|2 0 0 0 2 256|0 2 0 16 0 16|0 2 4 0 4 8|0 4 32 256 2 2|0 2 0 2 2 2
LEFT; 5; 0 2 4 0 0|2 8 4 0 2|0 16 2 8 0|0 8 16 2 2|4 0 4 2 128
DOWN; 8; 2 16 256 2 0 0 64 0|2 8 0 2 0 2 8 8|2 0 4 4 8 8 8 2|64 0 2 16 0 16 0 2|0 32 4 8 2 0 0 0|2 0 16 4 4 2 0 2|4 4 4 0 0 2 8 4|0 0 0 0 4 2 2 2
UP; 8; 0 2 2 2 0 4 2 0|2 0 0 2 0 4 4 0|2 4 0 2 32 16 4 16|8 0 8 0 2 64 2 64|0 2 0 0 8 0 4 8|0 2 0 0 4 2 0 4|2 2 2 4 4 2 0 0|0 2 2 2 4 0 0 2
RIGHT; 6; 128 0 0 0 2 4|16 0 2 0 2 8|8 2 0 0 0 2|0 2 64 0 0 8|4 8 0 8 2 0|2 0 2 2 2 0
UP; 5; 4 2 2 32 0|0 0 8 0 32|2 128 2 4 2|2 2 8 0 0|0 0 4 8 2
LEFT; 4; 0 0 4 4|0 0 2 0|0 0 0 2|0 0 4 2
DOWN; 7; 4 2 0 4 16 0 32|2 4 4 4 0 2 8|0 4 2 4 2 2 4|0 2 0 0 4 2 0|16 32 4 0 2 2 2|32 0 2 2 0 0 64|2 4 0 0 8 2 4
RIGHT; 6; 4 0 4 0 0 8|64 0 4 2 2 8|0 2 0 0 2 4|0 2 64 2 8 4|16 4 0 0 16 16|2 4 4 0 2 8
LEFT; 4; 4 2 0 8|4 0 0 16|4 0 4 2|0 0 16 0
DOWN; 8; 32 4 2 8 0 0 2 0|2 4 2 4 2 4 0 2|2 0 4 2 2 0 2 4|4 0 8 0 2 2 0 4|2 2 0 0 2 2 0 0|2 2 2 4 2 2 2 0|2 0 2 2 2 4 2 2|16 2 32 2 0 0 2 0
UP; 5; 0 2 8 8 0|2 2 2 2 0|2 0 8 2 0|2 0 8 0 2|4 4 0 4 4
LEFT; 10; 0 0 0 4 2 2 4 0 2 0|2 0 0 0 4 4 0 2 0 2|2 0 4 4 0 0 2 4 2 2|2 2 2 0 0 0 0 0 2 0|0 0 0 0 0 64 16 0 128 4|8 8 4 2 0 2 4 0 8 0|0 4 0 2 32 32 2 8 8 0|2 0 0 2 0 4 0 0 0 0|0 0 0 4 8 8 0 2 2 0|2 2 2 8 4 2 2 0 0 4
RIGHT; 9; 0 2 0 2 0 2 8 0 0|0 0 8 2 2 0 0 0 2|2 2 2 64 4 0 2 0 16|2 2 16 0 0 2 0 2 2|2 0 0 4 8 0 0 2 0|0 0 0 2 2 4 0 0 0|8 2 0 2 16 0 0 4 2|4 2 0 0 0 4 2 4 0|4 0 2 0 8 0 0 4 2
LEFT; 9; 2 2 2 2 2 0 0 16 2|2 2 0 8 2 0 16 2 64|2 8 2 0 2 0 0 0 512|0 0 0 0 0 0 2 0 2|0 0 64 0 0 0 0 4 0|0 0 2 0 4 2 8 0 0|0 2 8 0 4 8 2 2 0|0 0 8 0 0 0 0 2 2|0 4 0 0 32 4 0 2 0
DOWN; 4; 8 8 2 0|2 0 16 0|0 64 2 0|0 2 4 2
UP; 8; 0 0 0 2 8 4 2 0|2 0 2 4 2 4 0 0|4 0 4 2 8 4 4 2|16 4 2 8 2 4 0 2|0 2 2 2 0 0 8 2|4 2 8 2 2 0 0 4|2 2 0 2 2 8 64 2|0 0 2 0 2 0 2 2
DOWN; 10; 8 0 0 2 0 2 2 2 16 2|2 4 0 0 0 4 0 0 2 0|4 16 8 0 2 4 2 8 2 2|4 2 2 4 0 2 2 2 4 2|2 0 0 2 2 0 2 4 0 0|2 32 2 8 0 4 4 0 2 2|0 0 8 32 2 0 0 0 0 0|0 0 0 0 0 2 2 2 4 2|8 2 4 2 0 4 0 8 0 2|0 2 0 2 0 8 0 2 4 0
UP; 10; 0 4 0 0 8 2 2 4 0 0|0 0 0 0 8 0 4 64 2 0|2 0 2 0 0 0 2 0 32 4|0 0 64 2 0 0 4 2 4 0|0 2 0 4 0 2 16 4 2 0|2 2 8 0 4 2 0 16 0 2|2 0 8 0 4 0 256 0 0 0|0 0 8 2 0 2 0 0 1024 0|0 2 2 16 0 0 2 4 4 2|0 0 4 0 0 0 2 0 4 4
RIGHT; 6; 0 8 2 0 0 8|0 0 8 2 0 4|2 0 2 4 8 2|0 0 2 0 0 0|2 8 4 2 0 2|0 32 2 2 4 0
UP; 7; 4 2 0 4 2 0 2|2 0 32 0 0 0 0|2 2 0 0 2 0 4|0 32 2 0 2 0 2|4 4 0 2 16 0 0|0 32 0 0 0 2 2|2 0 0 8 2 2 2
UP; 5; 0 4 2 0 0|0 0 2 2 4|0 0 4 8 2|4 2 2 4 2|2 0 0 2 0
LEFT; 4; 2 0 4 8|2 4 0 2|16 2 0 0|0 0 2 32
DOWN; 5; 0 2 0 2 0|2 8 512 0 0|2 0 0 0 32|32 0 0 2 0|0 0 0 0 2
